month,count
2021-08,968
2021-09,88
2021-10,132
2021-11,5764
2021-12,7656
2022-01,2684
2022-02,1144
2022-03,1936
2022-04,5236
2022-05,2024
2022-06,1716
2022-07,2948
2022-08,6908
2022-09,3256
2022-10,2376
2022-11,4532
2022-12,5808
2023-01,4268
2023-02,4092
2023-03,2948
2023-04,5060
2023-05,2068
2023-06,1540
2023-07,1804
2023-08,2244
2023-09,2508
2023-10,4400
2023-11,1804
2023-12,2244
2024-01,1584
2024-02,1408
2024-03,1408
2024-04,2816
2024-05,1672
2024-06,616
2024-07,1056
2024-08,1760
2024-09,1100
2024-10,1056
